type,lat,lng,icon,name/subheader,subheader/text,description,size,angle,spacing,curve,coords,style,overlay
marker,-21.80030805097259,44.89013671875001,settlement,Pawtucket,,,,,,,,{},Settlements
marker,-76.97024507077676,-90.19775390625001,settlement,Marker,,,,,,,,{},
marker,-0.48337991318247436,135.2636894644682,settlement,Marker,,,,,,,,{},Settlements
marker,-4.4997617436205255,143.10791015625003,settlement,Marker,,,,,,,,{},Settlements
marker,-20.015381961202028,152.51259230309853,forts,Unknown Fort or Palisade Village,,"Upon arrival in Cape Cod, the Pilgrims discovered the ruins of a walled fortress or palisaded village filled with remains of local Nauset who had died from disease near the mouth of Pamet River, at Truro. Unaware of its native origins, the pilgrims assumed the location to be of European Christian construction and falsely mistook it as a graveyard. In the Pilgrims Journal written by  George Morton, William Bradford, and Edward Winslow the following is written.""We found a great burying place, one part whereof was encompassed with a large Palazado, like a Church-yard, with yong spires foure or five yards long, set as close one by another as they could two or three foot in the ground, within it was full of Graves, some bigger, and some lesse, some were also paled about, & others had like an Indian house made over them, but not matted: those Graves were more sumptuous than those at Corne-hill, yet we digged none of them up,. but onely viewed them, and went our way; without the Palazado were graves also, but not so costl.""",,,,,,{},Forts
marker,-5.814505235409476,143.50309075890496,forts,Marker,,[^¹] dfgdfgdf g,,,,,,{},
marker,-66.57448342017541,29.157714843750004,forts,Marker,,,,,,,,{},
marker,-76.14822912651843,-144.40378202944026,rock,Mishow,,"The Grey Mare and Mishow were two  boulders said to have been placed in their location by Manitou, the boulders served as an important ritual site used for sacred ceremonies.",,,,,,{},
marker,-21.412044527198127,152.99608087382487,agriculture,Marker,,,,,,,,{},
marker,-21.289503937039772,153.36971045535952,wigwam,Marker,,,,,,,,{},
marker,19.621892180319374,11.645507812500002,mine,Coal Mine,fgfdgd,dfgdfgd,,,,,,{},Mines/Quarries
marker,44.2294565683017,-49.65820312500001,capital,Pocumtuck,,,,,,,,{},
marker,-45.70617928533085,57.01904296875001,agriculture,Marker,,,,,,,,{},
marker,-65.90165338613072,29.355468750000004,settlement,Marker,,,,,,,,{},Settlements
marker,-0.2636709443366629,-14.172363281250002,mine,Tantiusques,“to a black deposit between two hills”,was a graphite mine which the local nipmucs used to mine graphite to make paints. ,,,,,,{},
marker,-41.426253195072704,39.57275390625001,agriculture,Marker,,,,,,,,{},
marker,48.1367666796927,-43.98925781250001,settlement,Marker,,,,,,,,{},
marker,54.67383096593114,-37.79296875000001,settlement,Marker,,,,,,,,{},
marker,25.363882272740256,-50.2294921875,settlement,Marker,,,,,,,,{},
marker,25.859223554761407,-47.85644531250001,settlement,Marker,,,,,,,,{},
marker,-62.33941057752869,-31.508789062500004,settlement,Marker,,,,,,,,{},
marker,-58.97266715450153,87.29736328125001,settlement,Marker,,,,,,,,{},
marker,-4.981505049328246,77.16796875000001,rock,Marker,,,,,,,,{},
marker,10.746969318460001,22.148437500000004,settlement,Hassanamesit ,"""Place of Small Stones""",,,,,,,{},
marker,18.95824648598139,36.18896484375001,agriculture,Marker,,,,,,,,{},
marker,25.878994400196202,-48.9990234375,agriculture,Marker,,,,,,,,{},
marker,-24.226928664976363,105.05126953125001,agriculture,Planting grounds,,"The site of an ""Ancient Indian Plantation"" ",,,,,,{},
marker,41.046216814520655,38.6279296875,seamonster,A'pcinic,,"A'pcinic was a horned and beaked sea monster said to live in Lake Nagog, the monster reportedly dragged a tentacled arms along the shoreline when hungry to find its next meal.",,,,,,{},
marker,41.77131167976407,37.19970703125001,forts,Nashoba Fort,,,,,,,,{},Forts
marker,-46.99524110694595,65.45654296875001,settlement,Acoaxet,,,,,,,,{},Settlements
marker,-30.410781790845878,104.63378906250001,pteroglyph,Bourne Stone,,,,,,,,{},Petroglyph
marker,-38.13455657705413,87.67089843750001,pteroglyph,Mattapoisett Hand,,,,,,,,{},Petroglyph
marker,25.46311452925943,-49.17480468750001,agriculture,Marker,,,,,,,,{},
marker,25.06569718553588,-49.39453125000001,agriculture,Marker,,,,,,,,{},
marker,25.403584973186703,-50.95458984375001,agriculture,Marker,,,,,,,,{},
marker,25.740529092773226,-50.95458984375001,agriculture,Marker,,,,,,,,{},
marker,-52.25470880113082,37.57324218750001,mine,Coojoot,Cajoot Cajout ,Coojoot was a graphite mine used by the Narragansett from the Woodland era until 1657,,,,,,{},Mines/Quarries
marker,-51.8086147519852,39.28710937500001,agriculture,Marker,,,,,,,,{},
marker,49.009050809382074,87.18750000000001,settlement,Chebaco,,,,,,,,{},Settlements
marker,-71.7739410364347,-28.278808593750004,settlement,Marker,,,,,,,,{},Settlements
marker,-72.24891676830892,-27.004394531250004,settlement,Marker,,,,,,,,{},Settlements
